iata,name,city,country_code
AUH,Zayed International Airport,Abu Dhabi,AE
AAN,Al Ain International Airport,Al Ain,AE
ZDY,Delma Airport,Delma Island,AE
DXB,Dubai International Airport,Dubai,AE
DWC,Al Maktoum International Airport,Dubai(Jebel Ali),AE
FJR,Fujairah International Airport,Fujairah,AE
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE
SHJ,Sharjah International Airport,Sharjah,AE
FBD,Fayzabad Airport,Fayzabad,AF
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF
KBL,Kabul International Airport,Kabul,AF
KDH,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF
MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,AF
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF
BBQ,Codrington Airport,Codrington,AG
ANU,V. C. Bird International Airport,Osbourn,AG
AXA,Clayton J. Lloyd International Airport,The Valley,AI
TIA,Tirana International Airport Mother Teresa,Rinas,AL
LWN,Shirak International Airport,Gyumri,AM
EVN,Zvartnots International Airport,Yerevan,AM
CAB,Cabinda Airport,Cabinda,AO
CBT,Catumbela Airport,Catumbela,AO
DUE,Dundo Airport,Chitato,AO
NOV,Albano Machado Airport,Huambo,AO
LAD,Quatro de Fevereiro International Airport,Luanda,AO
SDD,Lubango Mukanka International Airport,Lubango,AO
MEG,Malanje Airport,Malanje,AO
SSY,Mbanza Congo Airport,Mbanza Congo,AO
SPP,Menongue Airport,Menongue,AO
MSZ,Welwitschia Mirabilis International Airport,Moçâmedes,AO
GXG,Negage Airport,Negage,AO
VPE,Ngjiva Pereira Airport,Ngiva,AO
SZA,Soyo Airport,Soyo,AO
TNM,Teniente Rodolfo Marsh Martin Airport,Villa Las Estrellas,AQ
BHI,Comandante Espora Airport,Bahía Blanca,AR
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR
EZE,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),AR
CTC,Coronel Felipe Varela International Airport,Catamarca,AR
CPC,Aviador C. Campos Airport,Chapelco/San Martin de los Andes,AR
CRD,General Enrique Mosconi International Airport,Comodoro Rivadavia,AR
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Cordoba,AR
CNQ,Corrientes Airport,Corrientes,AR
FTE,El Calafate - Commander Armando Tola International Airport,El Calafate,AR
EQS,Esquel Brigadier Antonio Parodi International Airport,Esquel,AR
FMA,Formosa National Airport,Formosa,AR
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR
IRJ,Capitan V A Almonacid Airport,La Rioja,AR
LHS,Las Heras Airport,Las Heras,AR
MDQ,Ástor Piazzola International Airport,Mar del Plata,AR
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,AR
NEC,Necochea Airport,Necochea,AR
NQN,Presidente Peron Airport,Neuquen,AR
PRA,General Urquiza Airport,Parana,AR
PMQ,Perito Moreno Jalil Hamer Airport,Perito Moreno,AR
PSS,Libertador Gral D Jose De San Martin Airport,Posadas,AR
PUD,Puerto Deseado Airport,Puerto Deseado,AR
IGR,Cataratas Del Iguazú International Airport,Puerto Iguazu,AR
PMY,El Tehuelche Airport,Puerto Madryn,AR
REL,Almirante Marco Andres Zar Airport,Rawson,AR
RES,Resistencia International Airport,Resistencia,AR
RGL,Piloto Civil Norberto Fernández International Airport,Rio Gallegos,AR
RGA,Hermes Quijada International Airport,Rio Grande,AR
RYO,28 de Noviembre Airport,Rio Turbio,AR
ROS,Rosario Islas Malvinas International Airport,Rosario,AR
SLA,Martin Miguel De Guemes International Airport,Salta,AR
OES,Antoine de Saint Exupéry Airport,San Antonio Oeste,AR
BRC,Teniente Luis Candelaria International Airport,San Carlos de Bariloche,AR
UAQ,Domingo Faustino Sarmiento Airport,San Juan,AR
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR
TUC,Teniente Benjamin Matienzo Airport,San Miguel de Tucumán,AR
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR
JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,AR
SFN,Sauce Viejo Airport,Santa Fe,AR
RSA,Santa Rosa Airport,Santa Rosa,AR
SST,Santa Teresita Airport,Santa Teresita,AR
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago del Estero,AR
RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,AR
USH,Ushuaia - Malvinas Argentinas International Airport,Ushuaia,AR
VDM,Gobernador Castello Airport,Viedma / Carmen de Patagones,AR
FTI,Fitiuta Airport,Fitiuta Village,AS
OFU,Ofu Airport,Ofu,AS
PPG,Pago Pago International Airport,Pago Pago,AS
GRZ,Graz Airport,Feldkirchen bei Graz,AT
INN,Innsbruck Airport,Innsbruck,AT
KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,AT
LNZ,Linz-Hörsching Airport,Linz,AT
SZG,Salzburg Airport,Salzburg,AT
VIE,Vienna International Airport,Vienna,AT
ADL,Adelaide International Airport,Adelaide,AU
ALH,Albany Airport,Albany,AU
WOL,Shellharbour Airport,Albion Park Rail,AU
ASP,Alice Springs Airport,Alice Springs,AU
ARM,Armidale Airport,Armidale,AU
AUU,Aurukun Airport,Aurukun,AU
BDD,Badu Island Airport,Badu Island,AU
BNK,Ballina Byron Gateway Airport,Ballina,AU
ABM,Northern Peninsula Airport,Bamaga,AU
BCI,Barcaldine Airport,Barcaldine,AU
BHS,Bathurst Airport,Bathurst,AU
BEU,Bedourie Airport,Bedourie,AU
THG,Thangool Airport,Biloela,AU
BKQ,Blackall Airport,Blackall,AU
GIC,Boigu Island Airport,Boigu Island,AU
BNE,Brisbane International Airport,Brisbane,AU
KGI,Kalgoorlie Boulder Airport,Broadwood,AU
BHQ,Broken Hill Airport,Broken Hill,AU
BME,Broome International Airport,Broome,AU
BDB,Bundaberg Airport,Bundaberg,AU
BWT,Wynyard Airport,Burnie,AU
BQB,Busselton Margaret River Regional Airport,Busselton,AU
CNS,Cairns International Airport,Cairns,AU
CBR,Canberra Airport,Canberra,AU
CVQ,Carnarvon Airport,Carnarvon,AU
CTL,Charleville Airport,Charleville,AU
CKW,Christmas Creek Airport,Christmas Creek Mine,AU
CNJ,Cloncurry Airport,Cloncurry,AU
CUQ,Coen Airport,Coen,AU
CFS,Coffs Harbour Airport,Coffs Harbour,AU
CPD,Coober Pedy Airport,Coober Pedy,AU
OOM,Cooma Snowy Mountains Airport,Cooma,AU
GYZ,Gruyere Airport,Cosmo Newbery,AU
NLF,Darnley Island Airport,Darnley Island,AU
DRW,Darwin International Airport / RAAF Darwin,Darwin,AU
MJK,Shark Bay Airport,Denham,AU
DPO,Devonport Airport,Devonport,AU
DBO,Dubbo City Regional Airport,Dubbo,AU
ABX,Albury Airport,East Albury,AU
ELC,Elcho Island Airport,Elcho Island,AU
EMD,Emerald Airport,Emerald,AU
EPR,Esperance Airport,Esperance,AU
MEB,Melbourne Essendon Airport,Essendon Fields,AU
LEA,Learmonth Airport,Exmouth,AU
WGA,Wagga Wagga Airport,Forest Hill,AU
AVV,Melbourne Avalon International Airport,Geelong/Melbourne,AU
GLT,Gladstone Airport,Gladstone,AU
OOL,Gold Coast Airport,Gold Coast,AU
GFF,Griffith Airport,Griffith,AU
GTE,Groote Eylandt Airport,Groote Eylandt,AU
HTI,Hamilton Island Airport,Hamilton Island,AU
HIS,Hayman Island Resort Seaplane Base,Hayman Island,AU
HVB,Hervey Bay Airport,Hervey Bay,AU
HBA,Hobart International Airport,Hobart (Cambridge),AU
HID,Horn Island Airport,Horn,AU
HGD,Hughenden Airport,Hughenden,AU
KAX,Kalbarri Airport,Kalbarri,AU
KQR,Karara Airport,Karara,AU
KTA,Karratha Airport,Karratha,AU
KWM,Kowanyama Airport,Kowanyama,AU
KUG,Kubin Island Airport,Kubin Island,AU
KNX,East Kimberley Regional (Kununurra) Airport,Kununurra,AU
HOK,Hooker Creek Airport,Lajamanu,AU
LST,Launceston Airport,Launceston (Western Junction),AU
LVO,Laverton Airport,Laverton,AU
LNO,Leonora Airport,Leonora,AU
LSY,Lismore Airport,Lismore,AU
IRG,Lockhart River Airport,Lockhart River,AU
LRE,Longreach Airport,Longreach,AU
LDH,Lord Howe Island Airport,Lord Howe Island,AU
UBB,Mabuiag Island Airport,Mabuiag Island,AU
MKY,Mackay Airport,Mackay,AU
MNG,Maningrida Airport,Maningrida,AU
MCY,Sunshine Coast Airport,Maroochydore,AU
MCV,McArthur River Mine Airport,McArthur River Mine,AU
MEL,Melbourne Airport,Melbourne,AU
MBW,Melbourne Moorabbin Airport,Melbourne,AU
MIM,Merimbula Airport,Merimbula,AU
MQL,Mildura Airport,Mildura,AU
SNB,Snake Bay Airport,Milikapiti,AU
MGT,Milingimbi Airport,Milingimbi Island,AU
GET,Geraldton Airport,Moonyoonooka,AU
MOV,Moranbah Airport,Moranbah,AU
MRZ,Moree Airport,Moree,AU
MYA,Moruya Airport,Moruya,AU
PXH,Prominent Hill Airport,Mount Eba,AU
MGB,Mount Gambier Airport,Mount Gambier,AU
MHU,Mount Hotham Airport,Mount Hotham,AU
ISA,Mount Isa Airport,Mount Isa,AU
MYI,Murray Island Airport,Murray Island,AU
NAA,Narrabri Airport,Narrabri,AU
NRA,Narrandera Airport,Narrandera,AU
ZNE,Newman Airport,Newman,AU
GOV,Gove Airport,Nhulunbuy,AU
NTN,Normanton Airport,Normanton,AU
OLP,Olympic Dam Airport,Olympic Dam,AU
PBO,Paraburdoo Airport,Paraburdoo,AU
PKE,Parkes Airport,Parkes,AU
PER,Perth International Airport,Perth,AU
EDR,Pormpuraaw Airport,Pormpuraaw,AU
PHE,Port Hedland International Airport,Port Hedland,AU
PLO,Port Lincoln Airport,Port Lincoln,AU
PQQ,Port Macquarie Airport,Port Macquarie,AU
PPP,Proserpine Whitsunday Coast Airport,Proserpine,AU
ROK,Rockhampton Airport,Rockhampton,AU
RMA,Roma Airport,Roma,AU
SBR,Saibai Island Airport,Saibai Island,AU
SYU,Warraber Island Airport,Sue Islet,AU
LBH,Palm Beach Seaplane Base,Sydney,AU
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU
TMW,Tamworth Airport,Tamworth,AU
TCA,Tennant Creek Airport,Tennant Creek,AU
XTG,Thargomindah Airport,Thargomindah,AU
WTB,Toowoomba Wellcamp Airport,Toowoomba,AU
TSV,Townsville Airport / RAAF Base Townsville,Townsville,AU
WEI,Weipa Airport,Weipa,AU
FLS,Flinders Island Airport,Whitemark,AU
WYA,Whyalla Airport,Whyalla,AU
NTL,Newcastle Airport,Williamtown,AU
WNR,Windorah Airport,Windorah,AU
XMY,Yam Island Airport,Yam Island,AU
OKR,Yorke Island Airport,Yorke Island,AU
AYQ,Ayers Rock Connellan Airport,Yulara,AU
BXG,Bendigo Airport,nan,AU
BVI,Birdsville Airport,nan,AU
BQL,Boulia Airport,nan,AU
BRK,Bourke Airport,nan,AU
BUC,Burketown Airport,nan,AU
CED,Ceduna Airport,nan,AU
CAZ,Cobar Airport,nan,AU
CNC,Coconut Island Airport,nan,AU
CTN,Cooktown Airport,nan,AU
CNB,Coonamble Airport,nan,AU
CMA,Cunnamulla Airport,nan,AU
DMD,Doomadgee Airport,nan,AU
FIZ,Fitzroy Crossing Airport,nan,AU
JCK,Julia Creek Airport,nan,AU
KFG,Kalkgurung Airport,nan,AU
KRB,Karumba Airport,nan,AU
KNS,King Island Airport,nan,AU
KGC,Kingscote Airport,nan,AU
LEL,Lake Evella Airport,nan,AU
LER,Leinster Airport,nan,AU
LHG,Lightning Ridge Airport,nan,AU
MKR,Meekatharra Airport,nan,AU
ONG,Mornington Island Airport,nan,AU
MMG,Mount Magnet Airport,nan,AU
OKY,Oakey Army Aviation Centre,nan,AU
PMK,Palm Island Airport,nan,AU
PUG,Port Augusta Airport,nan,AU
PTJ,Portland Airport,nan,AU
ULP,Quilpie Airport,nan,AU
RAM,Ramingining Airport,nan,AU
RCM,Richmond Airport,nan,AU
SGO,St George Airport,nan,AU
WGE,Walgett Airport,nan,AU
WUN,Wiluna Airport,nan,AU
WIN,Winton Airport,nan,AU
AUA,Queen Beatrix International Airport,Oranjestad,AW
GYD,Heydar Aliyev International Airport,Baku,AZ
GBB,Gabala International Airport,Gabala,AZ
GNJ,Ganja International Airport,Ganja,AZ
LLK,Lankaran International Airport,Lankaran,AZ
NAJ,Nakhchivan Airport,Nakhchivan,AZ
TZL,Tuzla International Airport,Dubrave Gornje,BA
BNX,Banja Luka International Airport,Mahovljani,BA
OMO,Mostar International Airport,Mostar,BA
SJJ,Sarajevo International Airport,Sarajevo,BA
BGI,Grantley Adams International Airport,Bridgetown,BB
BZL,Barisal Airport,Barisal,BD
CGP,Shah Amanat International Airport,Chattogram (Chittagong),BD
CXB,Cox's Bazar Airport,Cox's Bazar,BD
DAC,Hazrat Shahjalal International Airport,Dhaka,BD
JSR,Jessore Airport,Jashore (Jessore),BD
RJH,Shah Makhdum Airport,Rajshahi,BD
SPD,Saidpur Airport,Saidpur,BD
ZYL,Osmany International Airport,Sylhet,BD
ANR,Antwerp International Airport (Deurne),Antwerp,BE
CRL,Brussels South Charleroi Airport,Charleroi,BE
LGG,Liège Airport,Grâce-Hollogne,BE
OST,Ostend-Bruges International Airport,Oostende,BE
BRU,Brussels Airport,Zaventem,BE
BOY,Bobo Dioulasso Airport,Bobo Dioulasso,BF
OUA,Ouagadougou Thomas Sankara International Airport,Ouagadougou,BF
BOJ,Burgas Airport,Burgas,BG
PDV,Plovdiv International Airport,Plovdiv,BG
SOF,Sofia Airport,Sofia,BG
VAR,Varna Airport,Varna,BG
BAH,Bahrain International Airport,Manama,BH
BJM,Bujumbura Melchior Ndadaye International Airport,Bujumbura,BI
GID,Gitega Airport,Gitega,BI
KRE,Kirundo Airport,Kirundo,BI
COO,Cotonou Cadjehoun International Airport,Cotonou,BJ
SBH,St. Jean Airport,Gustavia,BL
BDA,L.F. Wade International Airport,Hamilton,BM
BWN,Brunei International Airport,Bandar Seri Begawan,BN
CCA,Chimore Airport,Chimore,BO
CIJ,Capitán Aníbal Arab Airport,Cobija,BO
CBB,Jorge Wilsterman International Airport,Cochabamba,BO
GYA,Guayaramerín Airport,Guayaramerín,BO
LPB,El Alto International Airport,La Paz / El Alto,BO
PUR,Puerto Rico Airport,Puerto Rico/Manuripi,BO
PSZ,Capitán Av. Salvador Ogaya G. airport,Puerto Suárez,BO
UYU,Uyuni Joya Andina Airport,Quijarro,BO
RIB,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,BO
RBQ,Rurrenabaque Airport,Rurrenabaque,BO
SRZ,El Trompillo Airport,Santa Cruz,BO
VVI,Viru Viru International Airport,Santa Cruz,BO
SRE,Alcantarí International Airport,Sucre,BO
TJA,Capitan Oriel Lea Plaza Airport,Tarija,BO
TDD,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,BO
BON,Flamingo International Airport,Kralendijk,BQ
EUX,F. D. Roosevelt Airport,Oranjestad,BQ
SAB,Juancho E. Yrausquin Airport,Zion's Hill,BQ
GGF,Almeirim Airport,Almeirim,BR
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR
ATM,Altamira Interstate Airport,Altamira,BR
AJU,Aracaju - Santa Maria International Airport,Aracaju,BR
AUX,Araguaína Airport,Araguaína,BR
AQA,Araraquara Airport,Araraquara,BR
AAX,Romeu Zema Airport,Araxá,BR
ARU,Araçatuba Airport,Araçatuba,BR
BAZ,Barcelos Airport,Barcelos,BR
BRA,Dom Ricardo Weberberger Airport,Barreiras,BR
BRB,Barreirinhas National Airport,Barreirinhas,BR
JTC,Bauru/Arealva–Moussa Nakhal Tobias State Airport,Bauru,BR
CNF,Tancredo Neves International Airport,Belo Horizonte,BR
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR
BVB,Atlas Brasil Cantanhede Airport,Boa Vista,BR
BYO,Bonito Airport,Bonito,BR
RBB,Borba Airport,Borba,BR
BSB,Presidente Juscelino Kubitschek International Airport,Brasília,BR
BVS,Breves Airport,Breves,BR
CFB,Cabo Frio Airport,Cabo Frio,BR
OAL,Cacoal Airport,Cacoal,BR
CJZ,Pedro Vieira Moreira Airport,Cajazeiras,BR
CLV,Nelson Ribeiro Guimarães Airport,Caldas Novas,BR
CPV,Presidente João Suassuna Airport,Campina Grande,BR
VCP,Viracopos International Airport,Campinas,BR
CGR,Campo Grande Airport,Campo Grande,BR
CAW,Bartolomeu Lisandro Airport,Campos dos Goytacazes,BR
CEL,Canela Airport,Canela,BR
CAF,Carauari Airport,Carauari,BR
CAU,Caruaru Airport,Caruaru,BR
CAC,Coronel Adalberto Mendes da Silva Airport,Cascavel,BR
CXJ,Hugo Cantergiani Regional Airport,Caxias Do Sul,BR
XAP,Serafin Enoss Bertaso Airport,Chapecó,BR
CMG,Corumbá International Airport,Corumbá,BR
CCM,Forquilhinha - Criciúma  Airport,Criciúma,BR
JJD,Comandante Ariston Pessoa Airport,Cruz,BR
CZS,Cruzeiro do Sul Airport,Cruzeiro Do Sul,BR
CGB,Marechal Rondon Airport,Cuiabá,BR
CWB,Curitiba-Afonso Pena International Airport,Curitiba,BR
FEC,João Durval Carneiro Airport,Feira de Santana,BR
FEN,Fernando de Noronha Airport,Fernando de Noronha,BR
FLN,Hercílio Luz International Airport,Florianópolis,BR
FOR,Pinto Martins International Airport,Fortaleza,BR
IGU,Cataratas International Airport,Foz do Iguaçu,BR
FBE,Paulo Abdala Airport,Francisco Beltrão,BR
GYN,Santa Genoveva International Airport,Goiânia,BR
GVR,Coronel Altino Machado Airport,Governador Valadares,BR
GUZ,Guarapari Airport,Guarapari,BR
GPB,Tancredo Thomas de Faria Airport,Guarapuava,BR
GGJ,Guaíra Airport,Guaíra,BR
IOS,Bahia - Jorge Amado Airport,Ilhéus,BR
IMP,Prefeito Renato Moreira Airport,Imperatriz,BR
IPN,Usiminas Airport,Ipatinga,BR
ITB,Itaituba Airport,Itaituba,BR
JJG,Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,BR
JPR,Ji-Paraná Airport,Ji-Paraná,BR
JOI,Lauro Carneiro de Loyola Airport,Joinville,BR
JPA,Presidente Castro Pinto International Airport,João Pessoa,BR
JDO,Orlando Bezerra de Menezes Airport,Juazeiro do Norte,BR
JDF,Francisco de Assis Airport,Juiz de Fora,BR
IZA,Presidente Itamar Franco Airport,Juiz de Fora,BR
LAJ,Lages Airport,Lages,BR
LEC,Coronel Horácio de Mattos Airport,Lençóis,BR
LDB,Governor José Richa Airport,Londrina,BR
LBR,Lábrea Airport,Lábrea,BR
MCP,Macapá - Alberto Alcolumbre International Airport,Macapá,BR
MCZ,Zumbi dos Palmares International Airport,Maceió,BR
MAO,Eduardo Gomes International Airport,Manaus,BR
MNX,Manicoré Airport,Manicoré,BR
MAB,João Correa da Rocha Airport,Marabá,BR
MUU,Barra Grande Airport,Maraú,BR
MGF,Regional de Maringá - Sílvio Name Júnior Airport,Maringá,BR
MII,Frank Miloye Milenkowichi–Marília State Airport,Marília,BR
MOC,Mário Ribeiro Airport,Montes Claros,BR
MVF,Dix-Sept Rosado Airport,Mossoró,BR
NAT,Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport,Natal,BR
NVT,Ministro Victor Konder International Airport,Navegantes,BR
TMT,Trombetas Airport,Oriximiná,BR
PMW,Brigadeiro Lysias Rodrigues Airport,Palmas,BR
PYT,Pedro Rabelo de Souza Airport,Paracatu,BR
JPE,Nagib Demachki Airport,Paragominas,BR
JPY,Paraty Airport,Paraty,BR
CKS,Carajás Airport,Parauapebas,BR
PHB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,Parnaíba,BR
PFB,Lauro Kurtz Airport,Passo Fundo,BR
PTO,Juvenal Loureiro Cardoso Airport,Pato Branco,BR
PAV,Paulo Afonso Airport,Paulo Afonso,BR
PET,João Simões Lopes Neto International Airport,Pelotas,BR
PNZ,Senador Nilo Coelho Airport,Petrolina,BR
PGZ,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,BR
PMG,Ponta Porã Airport,Ponta Porã,BR
LCB,André Antônio Maggi Airport,Pontes e Lacerda,BR
POA,Porto Alegre-Salgado Filho International Airport,Porto Alegre,BR
BPS,Porto Seguro Airport,Porto Seguro,BR
PVH,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,BR
PPB,Presidente Prudente Airport,Presidente Prudente,BR
REC,Recife/Guararapes - Gilberto Freyre International Airport,Recife,BR
RAO,Leite Lopes Airport,Ribeirão Preto,BR
RBR,Rio Branco-Plácido de Castro International Airport,Rio Branco,BR
GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR
SDU,Santos Dumont Airport,Rio de Janeiro,BR
ROO,Maestro Marinho Franco Airport,Rondonópolis,BR
OPP,Salinópolis Airport,Salinópolis,BR
SSA,Deputado Luiz Eduardo Magalhães International Airport,Salvador,BR
IRZ,Tapuruquara Airport,Santa Isabel do Rio Negro,BR
RIA,Santa Maria Airport,Santa Maria,BR
SRA,Luis Alberto Lehr Airport,Santa Rosa,BR
STM,Santarém - Maestro Wilson Fonseca International Airport,Santarém,BR
GEL,Santo Ângelo Airport,Santo Ângelo,BR
SET,Santa Magalhães Airport,Serra Talhada,BR
OPS,Presidente João Batista Figueiredo Airport,Sinop,BR
JSO,Dr. Luciano de Arruda Coelho Regional Airport,Sobral,BR
SOD,Sorocaba Airport,Sorocaba,BR
SMT,Adolino Bedin Regional Airport,Sorriso,BR
SJL,São Gabriel da Cachoeira Airport,São Gabriel da Cachoeira,BR
SJK,Professor Urbano Ernesto Stumpf Airport,São José Dos Campos,BR
SJP,Prof. Eribelto Manoel Reino State Airport,São José do Rio Preto,BR
SLZ,Marechal Cunha Machado International Airport,São Luís,BR
CGH,Congonhas Airport,São Paulo,BR
GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,São Paulo,BR
TBT,Tabatinga Airport,Tabatinga,BR
TGQ,Tangará da Serra Airport,Tangará da Serra,BR
TFF,Tefé Airport,Tefé,BR
THE,Senador Petrônio Portela Airport,Teresina,BR
TOW,Toledo - Luiz Dalcanale Filho Municipal Airport,Toledo,BR
TJL,Plínio Alarcom Airport,Três Lagoas,BR
TUR,Tucuruí Airport,Tucuruí,BR
UBA,Mário de Almeida Franco Airport,Uberaba,BR
UDI,Ten. Cel. Aviador César Bombonato Airport,Uberlândia,BR
UMU,Orlando de Carvalho Airport,Umuarama,BR
UNA,Una-Comandatuba Airport,Una,BR
UVI,José Cleto Airport,União da Vitória,BR
URG,Rubem Berta Airport,Uruguaiana,BR
VAL,Valença Airport,Valença,BR
BVH,Brigadeiro Camarão Airport,Vilhena,BR
VIX,Eurico de Aguiar Salles Airport,Vitória,BR
VDC,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR
MYG,Mayaguana Airport,Abraham Bay Settlement,BS
TZN,Congo Town Airport,Andros,BS
SAQ,San Andros Airport,Andros Island,BS
ATC,Arthur's Town Airport,Arthur's Town,BS
NSB,Bimini North Seaplane Base,Bimini,BS
TBI,New Bight Airport,Cat Island,BS
CCZ,Chub Cay Airport,Chub Cay,BS
CRI,Colonel Hill Airport,Colonel Hill,BS
LGI,Deadman's Cay Airport,Deadman's Cay,BS
FPO,Grand Bahama International Airport,Freeport,BS
GHB,Governor's Harbour Airport,Governor's Harbour,BS
MHH,Leonard M. Thompson International Airport,Marsh Harbour,BS
IGA,Inagua Airport,Matthew Town,BS
GGT,Exuma International Airport,Moss Town,BS
NAS,Lynden Pindling International Airport,Nassau,BS
ELH,North Eleuthera Airport,North Eleuthera,BS
RSD,Rock Sound International Airport,Rock Sound,BS
ZSA,San Salvador International Airport,San Salvador,BS
BIM,South Bimini Airport,South Bimini,BS
AXP,Spring Point Airport,Spring Point,BS
SML,Stella Maris Airport,Stella Maris,BS
TCB,Treasure Cay Airport,Treasure Cay,BS
BUT,Bathpalathang Airport,Jakar,BT
PBH,Paro International Airport,Paro,BT
YON,Yongphulla Airport,Yongphulla,BT
FRW,Phillip Gaonwe Matante International Airport,Francistown,BW
GBE,Sir Seretse Khama International Airport,Gaborone,BW
BBK,Kasane International Airport,Kasane,BW
MUB,Maun International Airport,Maun,BW
SWX,Shakawe Airport,Shakawe,BW
BQT,Brest International Airport,Brest,BY
GME,Gomel Airport,Gomel,BY
MSQ,Minsk National Airport,Minsk,BY
MVQ,Mogilev Airport,Mogilev,BY
BZE,Philip S. W. Goldson International Airport,Belize City,BZ
TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ
BGK,Big Creek Airport,Big Creek,BZ
CUK,Caye Caulker Airport,Caye Caulker,BZ
CYC,Caye Chapel Airport,Caye Chapel,BZ
CZH,Corozal Airport,Corozal,BZ
DGA,Dangriga Airport,Dangriga,BZ
INB,Independence Airport,Independence,BZ
ORZ,H.E Alfredo Martinez (Tower Hill) Airstrip,Orange Walk,BZ
PLJ,Placencia Airport,Placencia,BZ
PND,Punta Gorda Airport,Punta Gorda,BZ
SPR,John Greif II Airport,San Pedro,BZ
YXX,Abbotsford International Airport,Abbotsford,CA
LAK,Aklavik/Freddie Carmichael Airport,Aklavik,CA
AKV,Akulivik Airport,Akulivik,CA
YAL,Alert Bay Airport,Alert Bay,CA
YAA,Anahim Lake Airport,Anahim Lake,CA
YAX,Wapekeka Airport,Angling Lake,CA
YAB,Arctic Bay Airport,Arctic Bay,CA
YEK,Arviat Airport,Arviat,CA
YAT,Attawapiskat Airport,Attawapiskat,CA
YPJ,Aupaluk Airport,Aupaluk,CA
YBC,Baie-Comeau Airport,Baie-Comeau,CA
YBK,Baker Lake Airport,Baker Lake,CA
YBF,Bamfield Seaplane Base,Bamfield,CA
YLK,Barrie-Lake Simcoe Regional Airport,Barrie,CA
XBE,Bearskin Lake Airport,Bearskin Lake,CA
YBW,Bedwell Harbour Seaplane Base,Bedwell Harbour,CA
ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,CA
QBC,Bella Coola Airport,Bella Coola,CA
YBV,Berens River Airport,Berens River,CA
YTL,Big Trout Lake Airport,Big Trout Lake,CA
YBI,Black Tickle Airport,Black Tickle,CA
YBX,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA
YDV,Bloodvein River Airport,Bloodvein River,CA
YVB,Bonaventure Airport,Bonaventure,CA
YBY,Bonnyville Airport,Bonnyville,CA
YBR,Brandon Municipal Airport,Brandon,CA
YKF,Region of Waterloo International Airport,Breslau,CA
YBT,Brochet Airport,Brochet,CA
YGN,Greenway Sound Seaplane Base,Broughton Island,CA
YPZ,Burns Lake Airport,Burns Lake,CA
YYC,Calgary International Airport,Calgary,CA
YCB,Cambridge Bay Airport,Cambridge Bay,CA
YBL,Campbell River Airport,Campbell River,CA
YHH,Campbell River Seaplane Base,Campbell River,CA
YRF,Cartwright Airport,Cartwright,CA
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA
YAC,Cat Lake Airport,Cat Lake,CA
YCL,Charlo Airport,Charlo,CA
YHG,Charlottetown Airport,Charlottetown,CA
YYG,Charlottetown Airport,Charlottetown,CA
YCS,Chesterfield Inlet Airport,Chesterfield Inlet,CA
YHR,Chevery Airport,Chevery,CA
YMT,Chapais Airport,Chibougamau,CA
YKU,Chisasibi Airport,Chisasibi,CA
YYQ,Churchill Airport,Churchill,CA
ZUM,Churchill Falls Airport,Churchill Falls,CA
YCY,Clyde River Airport,Clyde River,CA
YCK,Tommy Kochon Airport,Colville Lake,CA
YQQ,Comox Valley International Airport / CFB Comox,Comox,CA
YZS,Coral Harbour Airport,Coral Harbour,CA
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,CA
